Tick,Total Creatures,Speed_SS,Speed_Ss,Speed_ss,Vision_VV,Vision_Vv,Vision_vv,Beauty_AA,Beauty_Aa,Beauty_aa,Violence_KK,Violence_Kk,Violence_kk
20,181,44,91,46,58,79,44,53,83,45,9,60,112
40,173,40,89,44,56,77,40,51,79,43,9,56,108
60,152,35,79,38,48,66,38,47,69,36,8,50,94
80,137,33,76,28,43,59,35,41,65,31,9,47,81
100,129,30,72,27,41,55,33,40,58,31,9,43,77
120,117,25,66,26,37,47,33,41,49,27,7,40,70
140,113,25,63,25,37,45,31,41,48,24,8,40,65
160,104,24,57,23,35,40,29,38,44,22,7,38,59
180,103,21,61,21,27,39,37,37,43,23,7,38,58
200,102,19,61,22,26,39,37,39,41,22,7,37,58
220,101,22,57,22,26,37,38,38,41,22,6,36,59
240,102,22,60,20,26,37,39,36,42,24,6,37,59
260,96,20,59,17,24,35,37,34,39,23,3,35,58
280,101,18,65,18,24,38,39,38,38,25,3,35,63
300,92,17,57,18,22,34,36,34,33,25,3,30,59
320,94,19,58,17,24,33,37,36,33,25,3,29,62
340,93,22,54,17,24,32,37,34,34,25,3,27,63
360,96,22,55,19,24,34,38,38,34,24,3,25,68
380,101,23,56,22,24,33,44,40,38,23,3,26,72
400,112,27,62,23,24,34,54,46,41,25,2,29,81
420,108,24,61,23,24,34,50,42,42,24,2,27,79
440,109,27,58,24,27,35,47,42,41,26,2,25,82
460,109,28,57,24,29,35,45,42,40,27,2,26,81
480,110,28,58,24,26,37,47,41,40,29,1,24,85
500,118,32,62,24,27,37,54,45,44,29,1,25,92
520,123,35,62,26,27,38,58,45,49,29,2,26,95
540,126,34,63,29,29,38,59,45,51,30,2,27,97
560,126,36,62,28,29,37,60,45,51,30,2,28,96
580,124,37,61,26,29,35,60,44,51,29,2,30,92
600,130,37,62,31,29,40,61,45,51,34,2,33,95
620,130,37,61,32,28,40,62,46,48,36,2,31,97
640,130,36,60,34,29,41,60,47,50,33,2,32,96
660,127,35,58,34,26,40,61,45,50,32,2,32,93
680,126,34,57,35,26,42,58,48,46,32,2,31,93
700,124,32,55,37,24,44,56,48,47,29,2,31,91
720,124,29,62,33,25,45,54,46,48,30,2,29,93
740,124,29,60,35,31,44,49,43,50,31,3,25,96
760,119,30,58,31,29,45,45,40,50,29,3,25,91
780,119,29,61,29,28,45,46,41,52,26,3,25,91
800,116,24,64,28,24,41,51,39,51,26,3,23,90
820,114,25,63,26,21,42,51,38,49,27,3,21,90
840,122,28,68,26,22,47,53,41,54,27,3,24,95
860,123,27,69,27,22,47,54,41,56,26,3,22,98
880,123,28,68,27,22,46,55,42,55,26,3,25,95
900,122,27,66,29,23,46,53,44,52,26,3,25,94
920,122,28,68,26,24,45,53,45,51,26,3,21,98
940,127,32,66,29,26,48,53,47,51,29,3,23,101
960,133,33,69,31,29,49,55,50,55,28,3,24,106
980,131,31,66,34,30,48,53,49,55,27,3,24,104
1000,154,40,74,40,35,52,67,64,58,32,3,28,123
1020,157,44,71,42,36,53,68,63,59,35,3,27,127
